bvets motor noise table 1.00,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9
0.2,0,,,,,,,0,0,0
3,,,,,,,,,0.4,
5,0.3,,,,,,,,0.6,
10,,,0,,,,,,,
11.2,,,0.4,,,,,,,
15,0.7,,,,,,,,,
16.2,,,0.25,,,,,,,
16.4,,0,,,,,,,0,
17,0.8,,,,,,,,,
18.2,,0.6,,,,,,,,
18.4,0,,,,,,,,,
24,,0.8,,0,,,,,,
28,,,0.1,0.1,,,,,,
29.8,,,0,,,,,,,
30,,0.8,,,,0,0,,,
35,,,,,,,0.6,,,
36.4,,,,,,,0.8,,,
38,,,0,,,,,,,
38.2,,,,0.1,,,,,,
39,,0.5,,,,,,,,
40,,0,,,0,,,,,
40.2,,,0.6,,,,,,,
41.2,,,,,0.7,,,,,
42,,,0.6,,,,,,,
42.6,,,,0.4,0.7,,,,,
45,,,,,,,1,,,
45.4,,,0,,,,,,,
50,,,,,0.4,0.8,,,,
51.4,,,,,0,,,,,
54,,,,0.2,,,,,,
57,,,,0,,,,,,
75,,,,,,,1,,,
90,,,,,,1,0,,,
120,,,,,,1,,,,
