bvets motor noise table 1.00,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9
0.2,,,,,,,,,0,
5,,,,,,,,,0.6,
5.4,0,,,,,,,,,
7.2,,,,,,,,,0.7,
10,,,0,,,,,,,
10.4,0.4,,,,,,,,0.4,
11.2,,,0.4,,,,,,,
15,0.7,,,,,,,,,
16.2,,,0.25,,,,,,,
16.4,,0,,,,,,,0,
17,0.8,0.5,,,,,,,,
18.2,,0.6,,,,,,,,
18.4,0,,,,,,,,,
19,,,,,,,,,,
19.6,,,,,,,,,,
21,,0.6,,,,,,,,
24,,,,0,,,,0,,
25,,,,,,,,0.4,,
28,,,0.1,,,,,0.4,,
29,,,,,,,,,,0
29.8,,,0,,,,,,,0.4
30,,0.55,,0.4,,0,0,,,
33.4,,0.5,,,,,,,,
33.6,,,,,,,,0.2,,0.1
35,,0,,0.4,0,,0.6,0,,
35.2,,,,,,,,,,0.2
36.2,,,,,0.7,,,,,
36.4,,,,,,,0.8,,,
38,,,,,,,,,,0.2
40.2,,,,,,,,,,0
41.2,,,,,0.4,,,,,
43,,,,,0,,,,,
45,,,,,,,1,,,
48,,,,0.2,,,,,,
50,,,,0,,0.8,,,,
75,,,,,,,1,,,
90,,,,,,1,0,,,
120,,,,,,1,,,,
