bvets motor noise table 1.00,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9
0.2,1,,,,,,,0,1,0
3,,,,,,,,,,
5,,,,,,,,,,
10,,,0.55,,,,,,,
11.2,,,,,,,,,,
15,,,,,,,,,,
16.2,,,,,,,,,,
16.4,,0.93,,,,,,,,
17,,,,,,,,,,
18.2,,0.92,,,,,,,,
18.4,,,,,,,,,,
24,,,,0.5,,,,,,
28,,,,,,,,,,
29.8,,,2.99,,,,,,,
30,,,,,,0.43,0.8,,,
35,,,,,,,0.87,,,
36.4,,,,,,,0.89,,,
38,,,1.69,,,,,,,
38.2,,,,,,,,,,
39,,,,,,,,,,
40,,0.78,,,1.18,,,,,
41.2,,,,,,,,,,
42.6,,,,,,,,,,
45,,,,,,,1,,,
45.4,,,2.06,,,,,,,
50,,,,,,,,,,
51.4,,,,,1.55,,,,,
54,,,,,,,,,,
57,,,,1.38,,,,,,
75,,,,,,,,,,
90,,,,,,,,,,
120,,,,,,2,,,,
